source	time	person	location	organization	miscellaneous
	2019-12-31 00:00:00		ahhhhhhhh|		ira 
	2020-01-01 00:00:00		ahhhhhhhh|		ira 
	2020-01-05 00:00:00		irak|		alegria 
	2020-01-14 00:00:00			asi|ti transfuga|	tristeza 
	2020-01-15 00:00:00			asi|congreso|	miedo 
	2020-01-15 00:00:00		pegar|		alegria 
	2020-01-15 00:00:00	orientais|			tristeza  
	2020-01-16 00:00:00			oms|	ira 
	2020-01-20 00:00:00		nueva cepa|		miedo  
	2020-01-20 00:00:00	elcomercio peru|		cacheria express|	tristeza   
	2020-01-20 00:00:00	wuhan|		organizacion mundial de la salud oms|	miedo   
	2020-01-21 00:00:00	latam|		pe|	ira  
	2020-01-21 00:00:00		neumonia|coronavirus aqui|china|		alegria  
	2020-01-21 00:00:00		china|	oms|	tristeza
	2020-01-21 00:00:00		neumonia|		tristeza 
	2020-01-21 00:00:00	misterioso|	china|		tristeza  
	2020-01-21 00:00:00		china|francia|	oms|	alegria   
	2020-01-21 00:00:00	martinvizcarrac|minsa peru essaludperu|	china|eeuu|		miedo
	2020-01-21 00:00:00		en estados unidos|		tristeza   
	2020-01-21 00:00:00	panamericanatv minsa peru cancilleriaperu martinvizcarrac|	en estados unidos|aeropuerto munilima|		alegría
	2020-01-21 00:00:00		eeuu|seattle|venezuela|		tristeza
	2020-01-21 00:00:00	deberian empezar|wuhan china|			miedo 
	2020-01-21 00:00:00		en estados unidos|peru opsoms|	wuhan minsa|	tristeza 
	2020-01-21 00:00:00	minsa peru|			miedo  
	2020-01-21 00:00:00		china|		tristeza  
	2020-01-21 00:00:00		china|		ira   
	2020-01-21 00:00:00		alimentacion rica|	transmision|	tristeza   
	2020-01-21 00:00:00		internacional estados unidos|wuhan|washington via|		ira
	2020-01-21 00:00:00		aeropuerto jorgechavez minsa peru opsomsperu susaludperu|		miedo   
	2020-01-21 00:00:00		usa|		tristeza
	2020-01-22 00:00:00		mexico alerta|		miedo
	2020-01-22 00:00:00		china|		ira 
	2020-01-22 00:00:00		bolivia|venezuela|	colombia chile argentina|	ira  
	2020-01-22 00:00:00	minsa peru|			alegria 
	2020-01-22 00:00:00		corea del norte|wuhan|		miedo 
	2020-01-22 00:00:00	wuhan|			tristeza 
	2020-01-22 00:00:00	peru just watch|	trome|		ira   
	2020-01-22 00:00:00		china|		tristeza  
	2020-01-22 00:00:00		peru seguro|		miedo  
	2020-01-22 00:00:00		china|		tristeza   
	2020-01-22 00:00:00		peru pic|		tristeza
	2020-01-22 00:00:00		china|		alegria  
	2020-01-22 00:00:00	peru essaludperu|			ira
	2020-01-22 00:00:00	minsa peru|	china|		tristeza 
	2020-01-22 00:00:00	peru pic twitter com clizslhajp|	china|		tristeza  
	2020-01-22 00:00:00	minsa peru|coronavirus wuhanpneumonia|			miedo   
	2020-01-22 00:00:00	minsa peru|			tristeza   
	2020-01-22 00:00:00		china|		alegria   
	2020-01-22 00:00:00		china|		tristeza
	2020-01-22 00:00:00	peru minsa|	china|		miedo
	2020-01-22 00:00:00	minsa|elcomercio peru|			alegría
	2020-01-22 00:00:00	coronavirus minsa|			tristeza 
	2020-01-22 00:00:00	peru pic twitter com hmfim5qu85|			ira 
	2020-01-22 00:00:00			ins|	tristeza  
	2020-01-22 00:00:00	minsa peru|			tristeza   
	2020-01-22 00:00:00		aeropuerto jorge chavez|callao|china|		tristeza
	2020-01-22 00:00:00	minsa peru|jorge chavez|	colombia|brasil|		ira  
	2020-01-22 00:00:00	peru|jajajajaja|			ira   
	2020-01-22 00:00:00	tranqui|			ira
	2020-01-22 00:00:00	minsa|			tristeza 
	2020-01-22 00:00:00	elcomercio peru|	wuhan|		ira 
	2020-01-22 00:00:00		china|		ira  
	2020-01-22 00:00:00		biologia|wuhan china|tamaulipas|		tristeza  
	2020-01-22 00:00:00	minsa|			tristeza   
	2020-01-22 00:00:00	minsa|			tristeza
	2020-01-22 00:00:00			ins peru|	miedo 
	2020-01-22 00:00:00	minsa|			tristeza 
	2020-01-22 00:00:00	minsa|			tristeza  
	2020-01-22 00:00:00	minsa|			alegria 
	2020-01-22 00:00:00		china|	ins peru|	tristeza   
	2020-01-22 00:00:00		colombia|		miedo  
	2020-01-22 00:00:00			partido morado|	ira   
	2020-01-22 00:00:00	minsa|			miedo   
	2020-01-22 00:00:00	minsa|			miedo
	2020-01-22 00:00:00	atencion martinvizcarrac pcmperu|susaludperu mimpperu|			alegria  
	2020-01-22 00:00:00		alerta|china|		miedo 
	2020-01-22 00:00:00	minsa|			tristeza
	2020-01-22 00:00:00	atencion minsa peru|	china|		tristeza 
	2020-01-22 00:00:00			ins|	miedo  
	2020-01-22 00:00:00	minsa|			tristeza  
	2020-01-22 00:00:00	minsa peru|	peru pic|		tristeza   
	2020-01-22 00:00:00		brasil|china|		tristeza
	2020-01-22 00:00:00	peru karlacalle nidiavilchez apra oficialpic twitter|			miedo   
	2020-01-22 00:00:00	minsa|			tristeza 
	2020-01-22 00:00:00		paraguay|china|eeuu|		miedo
	2020-01-22 00:00:00	sabes|			miedo 
	2020-01-22 00:00:00	minsa|			tristeza  
	2020-01-22 00:00:00	peru gob regpic twitter com|			miedo  
	2020-01-22 00:00:00	minsa|			tristeza   
	2020-01-22 00:00:00	minsa peru|			miedo   
	2020-01-22 00:00:00		alerta grafico afppic twitter com owcy8b4ans|		miedo
	2020-01-22 00:00:00		china|		tristeza
	2020-01-22 00:00:00	minsa|			tristeza 
	2020-01-22 00:00:00		china|		miedo 
	2020-01-22 00:00:00		e4t61zijyn|		miedo  
	2020-01-22 00:00:00	minsa|	china|		ira
	2020-01-22 00:00:00	minsa|			tristeza  
	2020-01-22 00:00:00	minsa|			tristeza   
	2020-01-22 00:00:00		china|		tristeza
	2020-01-22 00:00:00		peru peru rec|	instituto nacional de salud|	tristeza 
	2020-01-22 00:00:00	peru pic twitter com|			tristeza  
	2020-01-22 00:00:00		ahoraesnoticia|miraflores toledo|		ira 
