source	time	person	location	organization	miscellaneous
	2020-01-31 00:00:00		thanos pic twitter|		miedo
	2020-04-01 00:00:00			bbc news|	ira 
	2020-04-01 00:00:00	reporte|peru pic twitter|			miedo
	2020-04-01 00:00:00		ee uu|		alegria  
	2020-04-01 00:00:00			bbc news|	ira  
	2020-04-01 00:00:00	peru|	america|		ira   
	2020-04-01 00:00:00	alan|	francia|alemania|	iso|	miedo 
	2020-04-01 00:00:00	bla bla bla|	palacio martinvizcarrac abusa d|		ira
	2020-04-01 00:00:00		ecuador|bolivia colombia|	cartel de lima|	alegria   
	2020-04-01 00:00:00	peru|	america|		ira 
	2020-04-01 00:00:00			bbc news|	ira  
	2020-04-01 00:00:00	peru|	america|		ira   
	2020-04-01 00:00:00	minsa peru|			tristeza 
	2020-04-01 00:00:00	peru|	america|		ira
	2020-04-01 00:00:00			igm igg|	tristeza  
	2020-04-01 00:00:00	weeks their|		who was doing missionary work in mountain villages was stuck in peru due to covid 19 today he s back home and i got the chance to talk to the family|	ira 
	2020-04-01 00:00:00			bbc news|	ira  
	2020-04-01 00:00:00		america|		tristeza   
	2020-04-01 00:00:00			bbc news|	ira   
	2020-04-01 00:00:00		china|asia|		miedo  
	2020-04-01 00:00:00	pandemiaglobal|	yucatan|peru vila|		tristeza
	2020-04-01 00:00:00			bbc news|	ira
	2020-04-01 00:00:00	segun|	sopemi|		tristeza 
	2020-04-01 00:00:00		eeuu|china|		ira 
	2020-04-01 00:00:00			bbc news|	ira  
	2020-04-01 00:00:00		peru villa panamericana recibio|villa panamericana|		tristeza  
	2020-04-01 00:00:00	peru|			tristeza   
	2020-04-01 00:00:00	peru|	america|		ira   
	2020-04-01 00:00:00		peru ministerio de cultura respaldo|		alegría
	2020-04-01 00:00:00			bbc news|	ira
	2020-04-01 00:00:00	peru|	america|		tristeza
	2020-04-01 00:00:00	almagro|	ecuador|peru colombia|chile|		alegria 
	2020-04-01 00:00:00	waldo mendoza|	reactivacion|peru opinion|		ira 
	2020-04-01 00:00:00		china|asia|		miedo   
	2020-04-01 00:00:00		unmsm pucp cayetanoheredia elcomercio peru|		miedo
	2020-04-01 00:00:00	compound extracted|	chinese herbals|		alegria  
	2020-04-01 00:00:00	supnep franklin|	linea|		miedo 
	2020-04-01 00:00:00	peru via diplawmat|			alegria   
	2020-04-01 00:00:00	peru|	america|	bbc news|	alegría
	2020-04-01 00:00:00	martinvizcarrac|peru|estimulo de america|	dinamarca|		miedo  
	2020-04-01 00:00:00			bbc news|	ira  
	2020-04-01 00:00:00		peru lima|		miedo   
	2020-04-01 00:00:00		callao|callao|		tristeza 
	2020-04-01 00:00:00	garay|huamanga|	ayacucho via walacnoticias|		miedo
	2020-04-01 00:00:00			bbc news|	ira   
	2020-04-01 00:00:00	veee|			miedo 
	2020-04-01 00:00:00	martin vizcarra video|			tristeza  
	2020-04-01 00:00:00	peru|	america|		ira
	2020-04-01 00:00:00	peru|	america|		ira 
	2020-04-01 00:00:00	peru|	america|	bbc news|	alegria 
	2020-04-01 00:00:00	peru aprobo farmacos|victor zamora|			ira  
	2020-04-01 00:00:00			bbc news|	ira   
	2020-04-01 00:00:00	peru|		bbc news|	tristeza   
	2020-04-01 00:00:00	numero|	peru lima|		ira
	2020-04-01 00:00:00	peru|			miedo  
	2020-04-01 00:00:00		latest|		alegria  
	2020-04-01 00:00:00		china|el salvador|		tristeza
	2020-04-01 00:00:00			bbc news|	ira 
	2020-04-01 00:00:00	alex foulkes who djs at our events is currently|			tristeza 
	2020-04-01 00:00:00			bbc news|	ira  
	2020-04-01 00:00:00		ivanduque|colombia|		tristeza  
	2020-04-01 00:00:00		lima|	d proteccion|	miedo   
	2020-04-01 00:00:00	peru|			ira   
	2020-04-01 00:00:00		aqui|		tristeza   
	2020-04-01 00:00:00		vizcarra|	congreso|	tristeza
	2020-04-01 00:00:00	apparently authorities said|		plane|	ira
	2020-04-01 00:00:00	peru|	america|	bbc news|	alegria   
	2020-04-01 00:00:00	elcomercio peru|			ira 
	2020-04-01 00:00:00			vyu2ajhwo7|	tristeza 
	2020-04-01 00:00:00			oms|	ira  
	2020-04-01 00:00:00	luis quesada|	china|		miedo
	2020-04-01 00:00:00	peru|		bbc news|	tristeza  
	2020-04-01 00:00:00			bbc|	ira   
	2020-04-01 00:00:00	peru|			alegría
	2020-04-01 00:00:00		italia|corea del sur|ee uu|		miedo 
	2020-04-01 00:00:00	peru|			alegria 
	2020-04-01 00:00:00		america|	alva bbc news|	ira
	2020-04-01 00:00:00			dia peru|	alegria  
	2020-04-01 00:00:00	santa rosa|com klsryzpeha|		carabineros|	miedo  
	2020-04-01 00:00:00	jaen cajamarca|1cealdi segundomattac|			tristeza   
	2020-04-01 00:00:00	peru|			miedo   
	2020-04-01 00:00:00	motu proprio|	chile|chile|		tristeza
	2020-04-01 00:00:00	bono|bono|			alegria   
	2020-04-01 00:00:00	peru|aplaudire|			ira 
	2020-04-01 00:00:00			bbc news|	ira  
	2020-04-01 00:00:00		estado el pais|		ira   
	2020-04-01 00:00:00	maduro|	venezuela|reino unido|		alegría
	2020-04-01 00:00:00		policia|		alegria 
	2020-04-01 00:00:00		guayaquil|		miedo
	2020-04-01 00:00:00		chile|argentina|colombia|uruguay|honduras|venezuela|bolivia|	actualizacion|	alegria  
	2020-04-01 00:00:00	peru victor zamora|			miedo 
	2020-04-01 00:00:00	peru|	america|	bbc news|	alegria   
	2020-04-01 00:00:00		eeuu|china|italia|		tristeza 
	2020-04-01 00:00:00	jmanalich minsaludcol|	usa|italia|	onu algun|	ira
	2020-04-01 00:00:00		china|asia|		miedo  
	2020-04-01 00:00:00	minsa|	korea|korea|		tristeza  
	2020-04-01 00:00:00			bbc|bbc news|	miedo   
	2020-04-01 00:00:00			informacion|	tristeza   
	2020-04-01 00:00:00	idl rivera|	peru q financian|	idl|pe|	ira 
	2020-04-01 00:00:00		chile|argentina|966 colombia|uruguay|		alegría
	2020-04-01 00:00:00			nombramiemto|	miedo
	2020-04-01 00:00:00	ivan duque adquiririo|	colombia|abbott|trump acaparo|		ira  
	2020-04-01 00:00:00		colombia|	laboratorios abbott|	miedo 
	2020-04-01 00:00:00		ucayali|		alegria 
	2020-04-01 00:00:00			investigacion|	alegria  
	2020-04-01 00:00:00	chibolin|liang yu|			ira   
	2020-04-01 00:00:00		lima|eeuu|argentina|colombia|venezuela|		alegria   
	2020-04-01 00:00:00		chile|	coronavirusenperu|	miedo  
	2020-04-01 00:00:00	martin|			ira
	2020-04-01 00:00:00	peru|			alegría
	2020-04-01 00:00:00	veanlo|bdptv julianaoxenford minsa peru presidenciaperu|	corea del sur|		miedo   
	2020-04-01 00:00:00		honduras|bolivia|chile colombia|cuba|guatemala|nicaragua paraguay|peru republicadominicana uruguay venezuelapic twitter com q887mierex|		tristeza
	2020-04-01 00:00:00		brasil|paraguay|olimpo|		tristeza 
	2020-04-01 00:00:00	peru|	bbcmundo|		tristeza  
	2020-04-01 00:00:00			or fighting for their|	alegria 
	2020-04-01 00:00:00		peru via|		miedo
	2020-04-01 00:00:00	peru|			miedo 
	2020-04-01 00:00:00		hospital del nino|		tristeza   
	2020-04-01 00:00:00	exitosape expresoperu|			ira 
	2020-04-01 00:00:00			bbc news|	ira  
	2020-04-01 00:00:00		ecuador|bolivia|		alegria  
	2020-04-01 00:00:00	detecte|	chile|		ira   
	2020-04-01 00:00:00	minsa peru|			miedo  
	2020-04-01 00:00:00	julianaoxenford minsa peru munilima jorgemunozap|adolfo viera|			tristeza
	2020-04-01 00:00:00	millon|	colombia|		miedo   
	2020-04-01 00:00:00			pe bravo peru|	miedo
	2020-04-01 00:00:00		yucatan|peru vila|		tristeza 
	2020-04-01 00:00:00	peru|	america|		ira
	2020-04-01 00:00:00			bbc|	ira 
	2020-04-01 00:00:00	contratarlos|			miedo 
	2020-04-01 00:00:00	martinvizcarrac fioremolinelli|sinmihidroxicloroquina vendra|			alegria   
	2020-04-01 00:00:00		peru pic|twitter com|		miedo  
	2020-04-01 00:00:00	vizcarra peru|	china|corea del sur|		miedo   
	2020-04-01 00:00:00		brasil|ecuador|bolivia|		tristeza  
	2020-04-01 00:00:00		bolivia|colombia|paraguay|uruguay|venezuela|uruguay|		ira  
	2020-04-01 00:00:00		peru pic|		miedo
	2020-04-01 00:00:00		miranda|		tristeza   
	2020-04-01 00:00:00	elcomercio peru|		agencia andina|	tristeza
	2020-04-01 00:00:00		costa|		miedo 
	2020-04-01 00:00:00	gino|			miedo  
	2020-04-01 00:00:00	peru|	america|		ira   
	2020-04-01 00:00:00	peru|			miedo   
	2020-04-01 00:00:00			bbc news|	ira
	2020-04-01 00:00:00			daim02 gob pe|	tristeza 
	2020-04-01 00:00:00	jose martinez trejo|			miedo
	2020-04-01 00:00:00	tvcosmosperu peru|			tristeza  
	2020-04-01 00:00:00	tvcosmosperu peru|			tristeza   
	2020-04-01 00:00:00			bbc news|	ira 
	2020-04-01 00:00:00	concytec peru|			tristeza
	2020-04-01 00:00:00	martin vizcarra pancho libertad|			alegría
	2020-04-01 00:00:00	peru|	america|		ira  
	2020-04-01 00:00:00		brasil|chile|		alegria 
	2020-04-01 00:00:00	peru|	america|		ira   
	2020-04-01 00:00:00	reporte|	lima|		tristeza 
	2020-04-01 00:00:00		g23m0xqahk|		tristeza  
	2020-04-01 00:00:00	ivan duque|victor zamora|donald|	colombia|		tristeza   
