source	time	person	location	organization	miscellaneous
	2020-01-31 00:00:00		thanos pic twitter|		miedo
	2020-02-01 00:00:00	australian bush fires east|		kobe and gianna bryant|	alegria 
	2020-02-01 00:00:00		suecia|		tristeza   
	2020-02-01 00:00:00		mexico colombia|		miedo 
	2020-02-01 00:00:00	peru|			alegria  
	2020-02-01 00:00:00		china|china|		miedo  
	2020-02-01 00:00:00	autoridades de peru|			miedo   
	2020-02-01 00:00:00	cobe bryant|	australia|eeuu|china|australia|chile|xenofobia|peru maduro|		tristeza
	2020-02-01 00:00:00		china|		miedo
	2020-02-01 00:00:00	peru|jairbolsonaro bolsonarosp|ivanduque maritoabdo|	venezuela|	bolivia chile|	alegria   
	2020-02-01 00:00:00	phil pol spa sarabia|	china|	uae4 austria|	miedo 
	2020-02-01 00:00:00		peru argentina|		tristeza 
	2020-02-01 00:00:00	peru|peru|		cnn|	tristeza  
	2020-02-01 00:00:00	feminicidio coronarovirus|			ira 
	2020-02-01 00:00:00	peru|	keiko|		tristeza   
	2020-02-01 00:00:00	pais|			ira  
	2020-02-01 00:00:00	minsa peru|			miedo  
	2020-02-01 00:00:00	minsa|			tristeza
	2020-02-01 00:00:00		peru colombia and ecuador|		ira   
	2020-02-01 00:00:00	espana|			tristeza 
	2020-02-01 00:00:00	alli|			tristeza  
	2020-02-01 00:00:00		china|china|	organismo mundial de salud declaro|	miedo   
	2020-02-01 00:00:00	we|	hdsptm colombia|		alegría
	2020-02-01 00:00:00	elcomercio peru|			tristeza   
	2020-02-01 00:00:00	segun|virginia rosas|elcomercio peru|	xenofobia|		miedo
	2020-02-01 00:00:00		china|		ira
	2020-02-01 00:00:00		furor|		alegria 
	2020-02-01 00:00:00	virginia rosas|	xenofobia|		miedo 
	2020-02-01 00:00:00	manuel espinoza|	china|		tristeza
	2020-02-01 00:00:00		bolivia|		alegria  
	2020-02-01 00:00:00		bolivia|		alegria   
	2020-02-01 00:00:00	elcomercio peru|			miedo  
	2020-02-01 00:00:00	espana|			tristeza 
	2020-02-01 00:00:00	jorge ag ero leon|elcomercio peru|			tristeza  
	2020-02-01 00:00:00			forolr|	ira 
	2020-02-01 00:00:00	manuel espinoza|		ins peru|	ira  
	2020-02-01 00:00:00		xenofobia|		miedo   
	2020-02-01 00:00:00	vizcarra peru|			miedo
	2020-02-01 00:00:00	na primeira|	bolivia|		tristeza   
