source	time	person	location	organization	miscellaneous
	2020-01-31 00:00:00		thanos pic twitter|		miedo
	2020-07-01 00:00:00	pais|			miedo
	2020-07-01 00:00:00	bahrain qatar|	lastweekjune 15 highest|chile|kuwait|bolivia|	us peru saudi arabia|	miedo 
	2020-07-01 00:00:00	lima peru|			miedo  
	2020-07-01 00:00:00		us|		ira
	2020-07-01 00:00:00		lvpx6yzbp0|		miedo   
	2020-07-01 00:00:00			the peru mission is distributing solidarity parcels to vulnerable families in the peruvian amazon during the|	miedo
	2020-07-01 00:00:00	paris|paris|johnson|paris|	chile|chile|		miedo 
	2020-07-01 00:00:00	happen catholic church|			miedo  
	2020-07-01 00:00:00		bangladesh|china|chile colombia|portugal|qatar|	coronavirusupdates 30|france germany india|	miedo   
	2020-07-01 00:00:00	dipendenti che sono stati licenziati perche|chiesto migliore|	actnow commerceuni|		miedo
	2020-07-01 00:00:00	gsalazarq|		stem uni|	ira 
	2020-07-01 00:00:00		venezuela|		miedo 
	2020-07-01 00:00:00		us|india|chile|		miedo  
	2020-07-01 00:00:00		brasil|chile pic twitter com|		miedo   
	2020-07-01 00:00:00	peru|		oms|	miedo
	2020-07-01 00:00:00	jan solid line is forecast|			miedo 
	2020-07-01 00:00:00	elcomercio peru|	lufthansa|		ira  
	2020-07-01 00:00:00		tambem|brasil|		ira   
	2020-07-01 00:00:00		cuba|cuba|		alegria  
	2020-07-01 00:00:00		peru healthworkers familymedicinepic|	family medicine resident suddenly pulled|an ongoing emergency|	miedo  
	2020-07-01 00:00:00	peru|	america del sur|chile|colombia|argentina|	ops carissa|bolivia brasil|	tristeza 
	2020-07-01 00:00:00	millon|			miedo   
	2020-07-01 00:00:00	fujimori|	peru seguiria|eeuu|japon facil|		miedo
	2020-07-01 00:00:00		brasil|chile azul|	avia|	miedo 
	2020-07-01 00:00:00	iep medidas anti|			ira
	2020-07-01 00:00:00		peru|		miedo  
	2020-07-01 00:00:00		peru soberana kabezahueca|		ira 
	2020-07-01 00:00:00	millon brasil|	chile|ecuador|	argentina 1 28329 bolivia 1 07192|	alegria   
	2020-07-01 00:00:00	peru peru|			miedo   
	2020-07-01 00:00:00		india|		ira  
	2020-07-01 00:00:00			covid19|	alegría
	2020-07-01 00:00:00	wampis gtanw|			miedo
