source	time	person	location	organization	miscellaneous
	2020-01-31 00:00:00		thanos pic twitter|		miedo
	2020-06-09 00:00:00	eva garcia|	ecuador|		tristeza 
	2020-06-09 00:00:00	risst|		induccion iperc|	tristeza  
	2020-06-09 00:00:00		brasil|	banco mundial|	alegria 
	2020-06-09 00:00:00	codquilmoralespedro carloshuaman quicktake|	guyana|venezuela|		alegria  
	2020-06-09 00:00:00	ani lu torres|			tristeza   
	2020-06-09 00:00:00		chile|		alegria   
	2020-06-09 00:00:00	info pic twitter com|	amazonia|loreto|san rafael|	infoevergreen institute|	miedo 
	2020-06-09 00:00:00		us india russia and peru|		miedo  
	2020-06-09 00:00:00	peru|	italia|		miedo   
	2020-06-09 00:00:00		europa|brasil|		miedo
	2020-06-09 00:00:00		peru fotos via escambraycu|		miedo 
	2020-06-09 00:00:00		digamoslo|		ira 
	2020-06-09 00:00:00	victor zamora|	lima|		miedo  
	2020-06-09 00:00:00	minsa peru|	cajamarca|		miedo   
	2020-06-09 00:00:00	peru|			miedo
	2020-06-09 00:00:00		covid|argentina|bolivia|paraguay|uruguay|venezuela|		miedo 
	2020-06-09 00:00:00		nueva zelanda|		tristeza
	2020-06-09 00:00:00	bono|			miedo  
	2020-06-09 00:00:00	martin vizcarra|martin|			miedo   
	2020-06-09 00:00:00			the covid 19|	alegría
	2020-06-09 00:00:00			oms|	alegria 
	2020-06-09 00:00:00		lima|	dia|	tristeza 
	2020-06-09 00:00:00		lambayeque|		miedo
	2020-06-09 00:00:00		argentina|peru pic twitter com|	dia|	tristeza  
	2020-06-09 00:00:00	peru|			alegria  
	2020-06-09 00:00:00	jajajj xdd confirmo|peru xdxd|			tristeza   
	2020-06-09 00:00:00		peru pic|		miedo 
	2020-06-09 00:00:00			chile and peru pic twitter com t40n3sizbb|	miedo  
	2020-06-09 00:00:00	portador de covid|			tristeza
	2020-06-09 00:00:00		en estados unidos|brasil|		tristeza 
	2020-06-09 00:00:00		aeropuerto de narita|mexico|peru noticiasnippon|twitter com|		alegria   
	2020-06-09 00:00:00	resolvio uruguay paraguay chile|		afa|aqui todavia|	tristeza  
	2020-06-09 00:00:00	ebrard|	en estados unidos|francia|colombia|		miedo   
	2020-06-09 00:00:00		brasil|italia|francia|		miedo
	2020-06-09 00:00:00	now peru|			miedo 
	2020-06-09 00:00:00		us|		miedo  
	2020-06-09 00:00:00		prensapuntofijo alerta|venezuela|colombia brasil|		alegría
	2020-06-09 00:00:00	jnjperu fiscaliaperu atentos|			alegria 
	2020-06-09 00:00:00	inusual raro|		oms|	ira  
	2020-06-09 00:00:00		lima|		ira   
	2020-06-09 00:00:00			11y6 entertainment|	tristeza   
	2020-06-09 00:00:00	nicolasmaduro|	chile|colombia|		miedo   
	2020-06-09 00:00:00	peru|			ira
	2020-06-09 00:00:00	peru|			miedo
	2020-06-09 00:00:00	fallecio daniel salcedo|	tumbes|ecuador|peru eva garcia|		alegria  
	2020-06-09 00:00:00			venezuela|	alegria   
	2020-06-09 00:00:00		salcedo|		ira 
	2020-06-09 00:00:00	coronavirus i|maria eugenia|			miedo 
	2020-06-09 00:00:00	peru ministerie van volksgezondheid levert zuurstofcilinders|			miedo  
	2020-06-09 00:00:00			sociedad taiwan|	miedo   
	2020-06-09 00:00:00		america|brasil|		miedo
	2020-06-09 00:00:00	payaso hp|	colombia|ecuador|brasil|colombia|ecuador|		alegría
	2020-06-09 00:00:00	andinaenglish|			miedo 
	2020-06-09 00:00:00			departamento de estado de los estados unidos ee uu|	miedo  
	2020-06-09 00:00:00	diana salazar fiscal|daniel|			ira  
	2020-06-09 00:00:00	diana salazar fiscal|daniel|			ira   
	2020-06-09 00:00:00	engie peru|	us|		tristeza
	2020-06-09 00:00:00	peru|	brasil|		ira
	2020-06-09 00:00:00	peru presidenciaperupic twitter com hniwban3sv|	gamarra|		miedo   
	2020-06-09 00:00:00		sudamerica|	asi|	alegria 
	2020-06-09 00:00:00	minsa peru presidenciaperu|			tristeza 
	2020-06-09 00:00:00		incid|brasil|		miedo
	2020-06-09 00:00:00			congreso|	ira 
	2020-06-09 00:00:00	minsa peru|matuk|			ira  
	2020-06-09 00:00:00	webinarcidh|		washington dc 4|	tristeza  
	2020-06-09 00:00:00		ee uu|	agencia andina|	tristeza   
	2020-06-09 00:00:00	peru|			alegria  
	2020-06-09 00:00:00		lima|		miedo 
	2020-06-09 00:00:00	martinvizcarrac|			miedo  
	2020-06-09 00:00:00	nope|steven spielberg|	ecuador|		tristeza
	2020-06-09 00:00:00	daniel salcedo|			alegria   
	2020-06-09 00:00:00	acreditacion|		ins|	miedo   
	2020-06-09 00:00:00	ginariano alvarovidalber mtpe peru|			tristeza 
	2020-06-09 00:00:00	tarapoto|huanuco segun|peru pcmperu|	prestamo|		miedo
	2020-06-09 00:00:00		bolivia|	argentina chile|	tristeza  
	2020-06-09 00:00:00	diana salazar confirmo|daniel salcedo|	ecuador|		tristeza   
	2020-06-09 00:00:00		peru lima|		alegría
	2020-06-09 00:00:00	peru|joda|			alegria 
	2020-06-09 00:00:00		cusco|moquegua|peru huancavelica ayacucho|tacna|		tristeza
