source	time	person	location	organization	miscellaneous
	2020-01-31 00:00:00		thanos pic twitter|		miedo
	2020-03-01 00:00:00			investigacion|	tristeza 
	2020-03-01 00:00:00	peru|			tristeza  
	2020-03-01 00:00:00	minsa peru|	ecuador|		miedo 
	2020-03-01 00:00:00			asi me alegraria muchisimo|	miedo  
	2020-03-01 00:00:00	minsa peru|omar trujillo acompana|	ins real|	ins|	miedo   
	2020-03-01 00:00:00		bolivia|		ira 
	2020-03-01 00:00:00	jorge chavez fotos|renato pajuelopic twitter com shtyysz2o9|			miedo
	2020-03-01 00:00:00	peru|			tristeza   
	2020-03-01 00:00:00	minsa peru|	ecuador|ecuador|		miedo 
	2020-03-01 00:00:00			oms|	miedo  
	2020-03-01 00:00:00	aya|	ecuador|ecuador|		ira  
	2020-03-01 00:00:00	nuestro pais|			miedo   
	2020-03-01 00:00:00	minsa peru|			miedo
	2020-03-01 00:00:00	opinion manuel altamirano|	china|		miedo 
	2020-03-01 00:00:00	mala praxis|	hospital carrion|sjl ahi|		ira   
	2020-03-02 00:00:00		mexico|		tristeza
	2020-03-02 00:00:00			oms|	alegria 
	2020-03-02 00:00:00	tienes|		oms|	ira
	2020-03-02 00:00:00	minsa peru|			miedo  
	2020-03-02 00:00:00		ee uu|argentina colombia|chile|		miedo   
	2020-03-02 00:00:00	elcomercio peru|			alegria  
	2020-03-02 00:00:00	minsa|			tristeza 
	2020-03-02 00:00:00		taiwan|		miedo
	2020-03-02 00:00:00			chile and peru|	miedo 
	2020-03-02 00:00:00	algun|			alegria   
	2020-03-02 00:00:00	minsa peru|	sistem|		ira 
	2020-03-02 00:00:00	minsa|peru|			miedo  
	2020-03-02 00:00:00		bcr|		ira  
	2020-03-03 00:00:00	mexico espana|	santo domingo|paraguay|chile|puerto rico|		miedo   
	2020-03-03 00:00:00	peru|			ira   
	2020-03-03 00:00:00		china|italia|		tristeza  
	2020-03-03 00:00:00		usa|china|peru mincetur|		ira
	2020-03-03 00:00:00		kasani|puerto acosta|	bolivia fmbolivia|	ira 
	2020-03-03 00:00:00	jorge montenegro subrayo|			alegría
	2020-03-03 00:00:00	elcomercio peru pic twitter|	brasil|ecuador|republica dominicana|caribe|venezuela|		alegria 
	2020-03-03 00:00:00		arequipa|	precaucion aqui|	miedo
	2020-03-03 00:00:00	saben deberian|			ira  
	2020-03-03 00:00:00	jacob|			miedo 
	2020-03-03 00:00:00		bolivia|		miedo  
	2020-03-03 00:00:00		ecuador|		alegria  
	2020-03-03 00:00:00		ecuador|brasil|argentina|	todavia|	tristeza   
	2020-03-03 00:00:00		arg|chile|		tristeza
	2020-03-03 00:00:00		colombia|chile|		tristeza 
	2020-03-03 00:00:00	andina jhonel rodriguez roblespic twitter com|		investigacion|	tristeza  
	2020-03-03 00:00:00		peru colombia|venezuela|		tristeza   
	2020-03-03 00:00:00		ecuador|		miedo   
	2020-03-03 00:00:00		ecuador|		tristeza
	2020-03-03 00:00:00	peru|	brasil|chile aca|		tristeza 
	2020-03-03 00:00:00		colombia paraguay|bolivia|venezuela|	bbc news|	ira   
	2020-03-03 00:00:00		chile|		tristeza  
	2020-03-03 00:00:00		chile|		ira
	2020-03-03 00:00:00	migracionespe|minsa peru|	argentina|chile|argentina|italia|chile|		tristeza   
	2020-03-03 00:00:00		lima|guerrero liverpool sambrano|		miedo
	2020-03-03 00:00:00		peru asi|		tristeza
	2020-03-03 00:00:00		peru|		ira 
	2020-03-03 00:00:00	peru hagan gargaras|			miedo 
	2020-03-03 00:00:00	alfonsodltorre|elcomercio peru|			ira  
	2020-03-03 00:00:00	minsa|ah1n1 bueno|toser|	colombia|brasil|bolivia|twitter com|		miedo  
	2020-03-03 00:00:00	elcomercio peru|	chile argentina|		miedo   
	2020-03-03 00:00:00		argentina|chile|		tristeza 
	2020-03-03 00:00:00	peru|	argentina|brasil|chile|		alegria   
	2020-03-03 00:00:00	peru pic twitter com|			miedo
	2020-03-04 00:00:00	francisco pizarro|ad hispaniola|per fu|seguenti portiaperti accoglienza|			miedo 
	2020-03-04 00:00:00	we moeten mondmaskers hier kunnen|zegt maggie|loopt achter|			miedo  
	2020-03-04 00:00:00	minister volksgezondheid peru presenteert mobiel ziekenhuis|	haar|		ira   
	2020-03-04 00:00:00		lima|	in peru pakken|	miedo   
	2020-03-04 00:00:00	elcomercio peru|			tristeza  
	2020-03-04 00:00:00	com gyfgtuakot|		instituto nacional de salud ins peru omar trujillo|	alegría
	2020-03-04 00:00:00		lima|	colegio asii|	ira
	2020-03-04 00:00:00		aqui|		tristeza   
	2020-03-04 00:00:00			ins peru pic twitter com waanzsuzis|	miedo
	2020-03-04 00:00:00	andinaenglish|			miedo 
	2020-03-04 00:00:00		ecuador|ecuador|		miedo  
	2020-03-04 00:00:00		ecuador|chile|		miedo   
	2020-03-04 00:00:00	descartes|	italia|		miedo
	2020-03-04 00:00:00	descartes|			miedo 
	2020-03-04 00:00:00	peru|		oms|	tristeza
	2020-03-04 00:00:00	josedomingoperez venezuelapic twitter com kgwwidfgwa|	lima|		miedo  
	2020-03-04 00:00:00	covidenperu|			ira 
	2020-03-04 00:00:00		puno|		miedo   
	2020-03-04 00:00:00		confeccion de mascaras|		miedo
	2020-03-04 00:00:00	elcomercio peru|visitalo aqui pic twitter|			tristeza 
	2020-03-04 00:00:00	hola|			alegria 
	2020-03-04 00:00:00		confeccion de mascaras|peru pic twitter|		miedo 
	2020-03-04 00:00:00		lima|		miedo  
	2020-03-04 00:00:00		ecuador|		tristeza  
	2020-03-04 00:00:00		sur america|chile colombia|honduras uruguay|		alegria  
	2020-03-04 00:00:00		confeccion de mascaras|		miedo   
	2020-03-04 00:00:00		confeccion de mascaras|peru pic twitter com|		miedo
	2020-03-04 00:00:00		ecuador|		tristeza   
	2020-03-04 00:00:00		ecuador|impedira|		miedo 
	2020-03-05 00:00:00		confeccion de mascaras|peru pic twitter|		miedo  
	2020-03-05 00:00:00		ecuador|		tristeza
	2020-03-05 00:00:00		aeropuerto internacional jorge chavez|		ira  
	2020-03-05 00:00:00		peru pic twitter com|		miedo   
	2020-03-05 00:00:00	elcomercio peru|			ira   
	2020-03-05 00:00:00		lima|peru congreso|		miedo
	2020-03-05 00:00:00		aeropuerto internacional jorge chavez minsa|		tristeza 
	2020-03-05 00:00:00	ani lu torres|			miedo 
	2020-03-05 00:00:00		colombia|uruguay|	prosur|argentina bolivia|	miedo  
	2020-03-05 00:00:00		covid|		tristeza  
	2020-03-05 00:00:00	minsa peru pcmperu essaludperu fioremolinelli elianacarlin julianaoxenford deltamdelta elcomercio peru informacion|johns hopkins csse|			tristeza   
