source	time	person	location	organization	miscellaneous
	2020-01-31 00:00:00		thanos pic twitter|		miedo
	2020-05-01 00:00:00	lomasleidodeabril|			alegria   
	2020-05-01 00:00:00	andukena a2 valla ki food kuda|intha ki vizag|			alegría
	2020-05-01 00:00:00		brasil|brasil|chile|bolivia|paraguay|		miedo  
	2020-05-01 00:00:00		chile|		alegria 
	2020-05-01 00:00:00	vizcarra peru|	venezuela|		ira 
	2020-05-01 00:00:00	rodysuarez suerte|	relacion|mendoza|ecuador|mendoza|		miedo   
	2020-05-01 00:00:00			parlamento sobre la repatriacion|	ira  
	2020-05-01 00:00:00		salas de cine|		alegria  
	2020-05-01 00:00:00		peru pic|		tristeza
	2020-05-01 00:00:00	fake news|keiko|			alegria   
	2020-05-01 00:00:00	martin vizcarra minsa|			alegría
	2020-05-01 00:00:00		asislamien|tengo|		alegria 
	2020-05-01 00:00:00	martin vizcarra|telefono|	china|		miedo
	2020-05-01 00:00:00		china|		alegria  
	2020-05-01 00:00:00		ivermectina|		alegria   
	2020-05-01 00:00:00		loreto|		miedo 
	2020-05-01 00:00:00		america|		ira   
	2020-05-01 00:00:00	peru|			alegría
	2020-05-01 00:00:00		poderjudicial|		miedo  
	2020-05-01 00:00:00		poderjudicial|		miedo   
	2020-05-01 00:00:00		poderjudicial|		miedo
	2020-05-01 00:00:00		peru|		miedo 
	2020-05-01 00:00:00	essaludperu|atender claro|			alegria 
	2020-05-01 00:00:00	peru fioremolinelli|			miedo  
	2020-05-01 00:00:00		america|		ira
	2020-05-01 00:00:00		poderjudicial|		miedo   
	2020-05-01 00:00:00	alejandrorebolledo coronavirus corrupcion delincuencia pandemia peru|			ira 
	2020-05-01 00:00:00	proposito|	chile colombia|brasil|		alegria  
	2020-05-01 00:00:00			fundacion|	miedo
	2020-05-01 00:00:00	fujimori|	korrupta mitomana senorak keikofujimori|		ira  
	2020-05-01 00:00:00		arequipa|		miedo 
	2020-05-01 00:00:00	tegas mendukung pemerintah|masyarakat peru dalam perjuangan melawan|akan terus menawarkan dukungan|sesuai kapasitasnya pic twitter|	kamis|		miedo  
	2020-05-01 00:00:00		eeuu|cubren desmadre|		alegria   
	2020-05-01 00:00:00		peru david|	congreso|	alegría
	2020-05-01 00:00:00			fundacion|	miedo   
	2020-05-01 00:00:00	xi jinping|martin vizcarra|ano peru|	china|		miedo
	2020-05-01 00:00:00		peru food markets are hotspots for covid|		alegria 
	2020-05-01 00:00:00	sosamazonaspic twitter|	amazonas|brasil|peru colombia|leticia|		miedo 
	2020-05-01 00:00:00		galeria|		ira   
	2020-05-01 00:00:00		madrid|n 7|madrid|		tristeza 
	2020-05-01 00:00:00		china|		alegria  
	2020-05-01 00:00:00		china|support for peru in covid 19 fight xi|		alegria   
	2020-05-01 00:00:00		peru hector chumpitaz|		alegría
	2020-05-01 00:00:00	noticias peru pablo|			alegria 
	2020-05-01 00:00:00	chino xijinping|martin vizcarra|	china|		ira
	2020-05-01 00:00:00	peru|			alegria  
	2020-05-01 00:00:00		venezuela|		tristeza  
	2020-05-01 00:00:00	uds el peru|			tristeza   
	2020-05-01 00:00:00	ciro maguina infectologo|		universidad cayetano heredia|	tristeza
	2020-05-01 00:00:00		lima|	helping|distancing air quality fitness and vitamin d all of which will help|	tristeza 
	2020-05-01 00:00:00	juan pablo ii|	buenos dias peru fortaleza|		ira 
	2020-05-01 00:00:00		venezuela|		ira  
	2020-05-01 00:00:00		venezuela|		ira   
	2020-05-01 00:00:00	prefirio|wuhan peru|	china|		tristeza  
	2020-05-01 00:00:00	peru|	rio corrientes|		alegria   
	2020-05-01 00:00:00	ciro maguina colegio|eeuu peru|	estados unidos|		ira
	2020-05-01 00:00:00		venezuela|		ira 
	2020-05-01 00:00:00			dia|dia|	miedo  
	2020-05-01 00:00:00	ciro maguina colegio|eeuu peru|	estados unidos|		ira  
	2020-05-01 00:00:00	peru|			alegría
	2020-05-01 00:00:00		america|		ira   
	2020-05-01 00:00:00	hagalo|			alegria 
	2020-05-01 00:00:00		america|		ira
	2020-05-01 00:00:00		america|		ira 
	2020-05-01 00:00:00		colapsa|		ira  
	2020-05-01 00:00:00		venezuela|venezuela|		ira   
	2020-05-01 00:00:00	bono|	lima callao|		miedo   
	2020-05-01 00:00:00	peru|			tristeza   
	2020-05-01 00:00:00	minjusdh peru|gscavinoo|			tristeza
	2020-05-01 00:00:00	peru|			alegria  
	2020-05-01 00:00:00	peru|	calderje|		alegria   
	2020-05-01 00:00:00		peru fiscalia|		tristeza 
	2020-05-01 00:00:00		america|		ira
	2020-05-01 00:00:00		konchuda|		alegría
	2020-05-01 00:00:00		loreto|		miedo
	2020-05-01 00:00:00		peru lambayeque|		alegria 
	2020-05-01 00:00:00	victor tipe|	venezuela|		tristeza  
	2020-05-01 00:00:00	president xijinping|			miedo 
	2020-05-01 00:00:00		keiko|	tendra|	ira 
	2020-05-01 00:00:00		brasil|china|ecuador|		alegria  
	2020-05-01 00:00:00	julianaoxenford victorzamora|			miedo  
	2020-05-01 00:00:00	elcomercio peru|			tristeza   
	2020-05-01 00:00:00	peru|			alegria   
	2020-05-01 00:00:00		cientifico de san marcos|		tristeza
	2020-05-01 00:00:00		ifearecomienda|		alegría
	2020-05-01 00:00:00		menus|		miedo   
	2020-05-01 00:00:00	peru|			alegria 
	2020-05-01 00:00:00	itsllini rpp|peru pcmperu|			alegria  
	2020-05-01 00:00:00	salio hildebrandt|			tristeza 
	2020-05-01 00:00:00	ciro maguina colegio|eeuu peru|	estados unidos|		ira  
	2020-05-01 00:00:00		venezuela|		ira   
	2020-05-01 00:00:00	may this flute sound gives the even deeper|			alegria   
	2020-05-01 00:00:00	qe paguen|jnjperu martinvizcarrac congresoperu|		qe|qe|	miedo
	2020-05-01 00:00:00		peru|		tristeza  
	2020-05-01 00:00:00	minsa|			miedo 
	2020-05-01 00:00:00			ppk|	alegría
	2020-05-01 00:00:00		china|		ira
